All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654603.4364467,958,1,0,0
1551654603.4530237,958,1,0,0
1551654603.4691436,958,1,0,0
1551654603.4852822,958,1,0,0
1551654603.5087976,958,1,0,0
1551654603.5253015,958,1,0,0
1551654603.54081,958,1,0,0
1551654603.5572984,958,1,0,0
1551654603.5729284,958,1,0,0
1551654603.5885043,958,1,0,0
1551654603.605045,958,1,0,0
1551654603.6205852,958,1,0,0
1551654603.637019,958,1,0,0
1551654603.6535864,958,1,0,0
1551654603.6700764,958,1,0,0
1551654603.685618,958,1,0,0
1551654603.7021077,958,1,0,0
1551654603.7175512,958,1,0,0
1551654603.7341566,958,1,0,0
1551654603.7496984,958,1,0,0
1551654603.7662528,958,1,0,0
1551654603.7817633,958,1,0,0
1551654603.798195,958,1,0,0
1551654603.8137841,958,1,0,0
1551654603.8294246,958,1,0,0
1551654603.8459363,958,1,0,0
1551654603.8614297,958,1,0,0
1551654603.8779473,958,1,0,0
1551654603.8935435,958,1,0,0
1551654603.9101145,958,1,0,0
1551654603.9256186,958,1,0,0
1551654603.9421022,958,1,0,0
1551654603.9575996,958,1,0,0
1551654603.9741514,958,1,0,0
1551654603.9897113,958,1,0,0
1551654604.0069435,958,1,0,0
1551654604.0233815,958,1,0,0
1551654604.039931,958,1,0,0
1551654604.0554368,958,1,0,0
1551654604.0719504,958,1,0,0
1551654604.087449,958,1,0,0
1551654604.10406,958,1,0,0
1551654604.11954,958,1,0,0
1551654604.1360884,958,1,0,0
1551654604.1515877,958,1,0,0
1551654604.1680896,958,1,0,0
1551654604.183646,958,1,0,0
1551654604.2001984,958,1,0,0
1551654604.2157075,958,1,0,0
1551654604.2323604,958,1,0,0
1551654604.2488635,958,1,0,0
1551654604.2644136,958,1,0,0
1551654604.2809508,958,1,0,0
1551654604.296445,958,1,0,0
1551654604.3129036,958,1,0,0
1551654604.3293588,958,1,0,0
1551654604.3458622,958,1,0,0
1551654604.362333,958,1,0,0
1551654604.3787634,958,1,0,0
1551654604.3952627,958,1,0,0
1551654604.410664,958,1,0,0
1551654604.4270701,958,1,0,0
1551654604.442607,958,1,0,0
1551654604.4591258,958,1,0,0
1551654604.4746387,958,1,0,0
1551654604.4911585,958,1,0,0
1551654604.5801,958,0,1,0
1551654604.5802374,958,0,1,0
1551654604.5803082,958,0,1,0
1551654604.5804508,958,0,1,0
1551654604.5805209,958,0,1,0
1551654604.580587,958,0,1,0
1551654604.5806496,958,0,1,0
1551654604.580715,958,0,1,0
1551654604.5807776,958,0,1,0
1551654604.580842,958,0,1,0
1551654604.5809042,958,0,1,0
1551654604.5809696,958,0,1,0
1551654604.581032,958,0,1,0
1551654604.5810955,958,0,1,0
1551654604.5811586,958,0,1,0
1551654604.5812232,958,0,1,0
1551654604.581286,958,0,1,0
1551654604.58135,958,0,1,0
1551654604.581413,958,0,1,0
1551654604.5814753,958,0,1,0
1551654604.5815399,958,0,1,0
1551654604.5816033,958,0,1,0
1551654604.5816677,958,0,1,0
1551654604.5817306,958,0,1,0
1551654604.5817943,958,0,1,0
1551654604.581857,958,0,1,0
1551654604.5819194,958,0,1,0
1551654604.5819826,958,0,1,0
1551654604.5820458,958,0,1,0
1551654604.5821087,958,0,1,0
1551654604.5821836,958,0,1,0
1551654604.5822475,958,0,1,0
1551654604.5823114,958,0,1,0
1551654604.5823736,958,0,1,0
1551654604.582437,958,0,1,0
1551654604.5824993,958,0,1,0
1551654604.5825627,958,0,1,0
1551654604.5826252,958,0,1,0
1551654604.5826888,958,0,1,0
1551654604.5827518,958,0,1,0
1551654604.5828156,958,0,1,0
1551654604.5828786,958,0,1,0
1551654604.5829425,958,0,1,0
1551654604.5830047,958,0,1,0
1551654604.5830686,958,0,1,0
1551654604.583131,958,0,1,0
1551654604.5831943,958,0,1,0
1551654604.5832567,958,0,1,0
1551654604.583321,958,0,1,0
1551654604.5833838,958,0,1,0
1551654604.5834484,958,0,1,0
1551654604.5835116,958,0,1,0
1551654604.583575,958,0,1,0
1551654604.5836368,958,0,1,0
1551654604.5837004,958,0,1,0
1551654604.5837626,958,0,1,0
1551654604.5838265,958,0,1,0
1551654604.5838892,958,0,1,0
1551654604.583953,958,0,1,0
1551654604.5840147,958,0,1,0
1551654604.5840786,958,0,1,0
1551654604.5841405,958,0,1,0
1551654604.5842044,958,0,1,0
1551654604.5842667,958,0,1,0
1551654604.5843308,958,0,1,0
1551654604.5843928,958,0,1,0
1551654604.5844579,958,0,1,0
1551654604.5845208,958,0,1,0
1551654604.5845845,958,0,1,0
1551654604.5846472,958,0,1,0
1551654604.5847108,958,0,1,0
1551654604.5847728,958,0,1,0
1551654604.584836,958,0,1,0
1551654604.5848975,958,0,1,0
1551654604.5849614,958,0,1,0
1551654604.5850239,958,0,1,0
1551654604.5850875,958,0,1,0
1551654604.5851495,958,0,1,0
1551654604.5852127,958,0,1,0
1551654604.5852757,958,0,1,0
1551654604.585339,958,0,1,0
1551654604.5854006,958,0,1,0
1551654604.5854642,958,0,1,0
1551654604.5855267,958,0,1,0
1551654604.58559,958,0,1,0
1551654604.5856512,958,0,1,0
1551654604.585714,958,0,1,0
1551654604.5861995,958,0,1,0
1551654604.5862818,958,0,1,0
1551654604.586353,958,0,1,0
1551654604.5864174,958,0,1,0
1551654604.5864804,958,0,1,0
1551654604.5865464,958,0,1,0
1551654604.5866096,958,0,1,0
1551654604.5866745,958,0,1,0
1551654604.586737,958,0,1,0
1551654604.5868027,958,0,1,0
1551654604.5868664,958,0,1,0
1551654604.5869308,958,0,1,0
1551654604.586994,958,0,1,0
1551654604.5870578,958,0,1,0
1551654604.5871212,958,0,1,0
1551654604.587187,958,0,1,0
1551654604.5872502,958,0,1,0
1551654604.5873158,958,0,1,0
1551654604.5873785,958,0,1,0
1551654604.5874417,958,0,1,0
1551654604.5875041,958,0,1,0
1551654604.5875676,958,0,1,0
1551654604.58763,958,0,1,0
1551654604.587693,958,0,1,0
1551654604.5877545,958,0,1,0
1551654604.5878189,958,0,1,0
1551654604.5878828,958,0,1,0
1551654604.587948,958,0,1,0
1551654604.5880103,958,0,1,0
1551654604.5880747,958,0,1,0
1551654604.5881371,958,0,1,0
1551654604.5882027,958,0,1,0
1551654604.5882654,958,0,1,0
1551654604.58833,958,0,1,0
1551654604.5883918,958,0,1,0
1551654604.588456,958,0,1,0
1551654604.5885189,958,0,1,0
1551654604.588583,958,0,1,0
1551654604.588646,958,0,1,0
1551654604.5887094,958,0,1,0
1551654604.588773,958,0,1,0
1551654604.5888362,958,0,1,0
1551654604.5888987,958,0,1,0
1551654604.588964,958,0,1,0
1551654604.5890276,958,0,1,0
1551654604.5890925,958,0,1,0
